('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         1003849 function calls (974791 primitive calls) in 19.996 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1981    0.008    0.000    0.011    0.000 __init__.py:909(_linkage_fixer)
     1965    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
     1965    0.003    0.000    0.003    0.000 {built-in method _imp.release_lock}
     1922    0.003    0.000    0.003    0.000 {method 'isupper' of 'str' objects}
     1832    0.003    0.000    0.003    0.000 _exceptions.py:7(map_exceptions)
     1828    0.005    0.000    0.007    0.000 typing.py:1437(__eq__)
1788/1311    0.004    0.000    0.006    0.000 {built-in method builtins.hash}
     1739    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     1681    0.002    0.000    0.002    0.000 {built-in method _sre.unicode_iscased}
     1575    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1575    0.008    0.000    0.008    0.000 {built-in method posix.stat}
     1464    0.003    0.000    0.003    0.000 _connection.py:224(their_state)
     1423    0.002    0.000    0.002    0.000 typing.py:1427(<genexpr>)
     1418    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
     1393    0.006    0.000    0.017    0.000 filter.py:628(_match_attribute_value_helper)
     1308    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
 1276/235    0.034    0.000    0.541    0.002 _parser.py:451(_parse_sub)
     1177    0.004    0.000    0.009    0.000 _parser.py:171(__setitem__)
     1173    0.004    0.000    0.007    0.000 enum.py:1589(_get_value)
     1161    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:645(parent)
     1142    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1142    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1105    0.005    0.000    0.012    0.000 _parser.py:311(_class_escape)
     1054    0.002    0.000    0.004    0.000 {built-in method fromkeys}
     1015    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1014    0.003    0.000    0.008    0.000 typing.py:164(_type_convert)
 1001/994    0.014    0.000    0.411    0.000 {built-in method builtins.__build_class__}
      988    0.003    0.000    0.004    0.000 _parser.py:82(groups)
      950    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
      942    0.012    0.000    0.036    0.000 typing.py:173(_type_check)
      930    0.004    0.000    0.009    0.000 contextlib.py:136(__enter__)
      930    0.005    0.000    0.007    0.000 contextlib.py:108(__init__)
      930    0.005    0.000    0.012    0.000 contextlib.py:303(helper)
      929    0.005    0.000    0.012    0.000 contextlib.py:145(__exit__)
      926    0.003    0.000    0.004    0.000 typing.py:1096(__eq__)
      897    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      876    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      849    0.003    0.000    0.013    0.000 _compiler.py:401(_simple)
      843    0.002    0.000    0.004    0.000 element.py:2169(get)
      842    0.004    0.000    0.007    0.000 _parser.py:371(_escape)
      840    0.003    0.000    0.005    0.000 _parser.py:448(_uniq)
      820    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      808    0.008    0.000    0.014    0.000 _compiler.py:214(_compile_charset)
      808    0.022    0.000    0.040    0.000 _compiler.py:241(_optimize_charset)
   803/14    0.005    0.000    1.748    0.125 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      802    0.002    0.000    0.003    0.000 typing.py:1765(__eq__)
      785    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      756    0.008    0.000    0.031    0.000 filter.py:617(_attribute_match)
      756    0.002    0.000    0.003    0.000 filter.py:322(matches_tag)
  746/508    0.002    0.000    0.005    0.000 typing.py:1443(__hash__)
      708    0.017    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      708    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      681    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:632(cached)
      665    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      660    0.002    0.000    0.018    0.000 typing.py:789(<genexpr>)
      654    0.007    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      654    0.006    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      654    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      654    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      654    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      654    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
      652    0.002    0.000    0.007    0.000 typing.py:1358(__getattr__)
      640    0.001    0.000    0.001    0.000 ssl.py:1117(_checkClosed)
      638    0.002    0.000    0.004    0.000 _receivebuffer.py:60(__len__)
      627    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      591    0.008    0.000    0.058    0.000 _connection.py:438(next_event)
      591    0.005    0.000    0.028    0.000 _connection.py:410(_extract_next_receive_event)
      589    0.002    0.000    0.003    0.000 enum.py:829(__setattr__)
      589    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      580    0.002    0.000    0.002    0.000 enum.py:47(_is_dunder)
      578    0.002    0.000    0.004    0.000 _receivebuffer.py:77(maybe_extract_at_most)
  553/552    0.006    0.000    0.013    0.000 _readers.py:156(__call__)
      541    0.003    0.000    0.004    0.000 enum.py:78(_is_private)
      541    0.002    0.000    0.002    0.000 enum.py:58(_is_sunder)
      538    0.001    0.000    0.001    0.000 _decoders.py:237(decode)
      536    0.001    0.000    0.001    0.000 <string>:5(__eq__)
      520    0.005    0.000    0.020    0.000 typing.py:260(_collect_type_parameters)
      505    0.002    0.000    0.006    0.000 element.py:1882(_all_strings)
      504    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      496    0.012    0.000    0.022    0.000 css_types.py:41(__init__)
      484    0.001    0.000    0.001    0.000 css_types.py:73(__hash__)
      479    0.004    0.000    0.021    0.000 typing.py:1307(__init__)
      475    0.008    0.000    0.061    0.000 typing.py:1423(__init__)
      470    0.001    0.000    0.002    0.000 _compiler.py:573(isstring)
      468    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      463    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      457    0.003    0.000    0.006    0.000 enum.py:37(_is_descriptor)
      443    0.002    0.000    0.003    0.000 socket.py:94(<lambda>)
      442    0.002    0.000    0.003    0.000 socket.py:89(<lambda>)
      441    0.002    0.000    0.003    0.000 socket.py:84(<lambda>)
      441    0.002    0.000    0.007    0.000 typing.py:1122(_is_unpacked_typevartuple)
      441    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      440    0.002    0.000    0.003    0.000 socket.py:79(<lambda>)
      438    0.007    0.000    0.023    0.000 <frozen importlib._bootstrap>:304(acquire)
      438    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      438    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:372(release)
      438    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      438    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      438    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
      438    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:158(__init__)
      438    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
      438    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:124(setdefault)
      438    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:162(__enter__)
      438    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      435    0.001    0.000    0.001    0.000 enum.py:1217(__init__)
      428    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      425    0.001    0.000    0.002    0.000 enum.py:1156(__new__)
      425    0.002    0.000    0.003    0.000 _parser.py:264(getwhile)
      425    0.001    0.000    0.003    0.000 enum.py:695(__call__)
      410    0.001    0.000    0.001    0.000 _compiler.py:431(_get_iscased)
      390    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      390    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
