('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         902524 function calls (875473 primitive calls) in 10.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.108    0.007 css_parser.py:1149(process_selectors)
    56/16    0.003    0.000    0.108    0.007 css_parser.py:925(parse_selectors)
        1    0.000    0.000    0.106    0.106 connection.py:895(_ssl_wrap_socket_and_match_hostname)
     3443    0.061    0.000    0.104    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.103    0.103 ssl_.py:410(ssl_wrap_socket)
    37893    0.102    0.000    0.102    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.101    0.050 parser.py:1(<module>)
        1    0.000    0.000    0.100    0.100 connectionpool.py:1(<module>)
        1    0.000    0.000    0.098    0.098 connection.py:192(_new_conn)
        1    0.000    0.000    0.098    0.098 connection.py:27(create_connection)
        1    0.000    0.000    0.097    0.097 client.py:1(<module>)
    17692    0.064    0.000    0.097    0.000 _parser.py:260(get)
      216    0.005    0.000    0.093    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.093    0.093 ssl_.py:508(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.093    0.093 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.093    0.093 ssl.py:990(_create)
        1    0.000    0.000    0.092    0.092 _request_methods.py:1(<module>)
        1    0.000    0.000    0.092    0.092 ssl.py:1365(do_handshake)
        1    0.092    0.092    0.092    0.092 {method 'do_handshake' of '_ssl._SSLSocket' objects}
 5526/390    0.056    0.000    0.089    0.000 _parser.py:177(getwidth)
      201    0.005    0.000    0.088    0.000 _compiler.py:514(_compile_info)
     2588    0.020    0.000    0.085    0.000 parser.py:92(_replace_attr_charref)
    44/32    0.001    0.000    0.083    0.003 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.082    0.003 css_parser.py:746(parse_pseudo_open)
      212    0.001    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      212    0.004    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      183    0.001    0.000    0.074    0.000 _parser.py:97(closegroup)
        1    0.073    0.073    0.073    0.073 {method 'connect' of '_socket.socket' objects}
      164    0.005    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
     3443    0.018    0.000    0.069    0.000 filter.py:539(matches_tag)
        3    0.000    0.000    0.068    0.023 response.py:1(<module>)
     3392    0.032    0.000    0.068    0.000 __init__.py:870(object_was_parsed)
    12894    0.045    0.000    0.067    0.000 _parser.py:163(__len__)
    13655    0.046    0.000    0.067    0.000 _markupbase.py:44(updatepos)
