('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         903499 function calls (876469 primitive calls) in 5.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.114    0.114 connection.py:895(_ssl_wrap_socket_and_match_hostname)
63082/63072    0.112    0.000    0.114    0.000 {built-in method builtins.isinstance}
        1    0.113    0.113    0.113    0.113 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.112    0.112 ssl_.py:410(ssl_wrap_socket)
        1    0.000    0.000    0.111    0.111 compat.py:1(<module>)
10853/8260    0.036    0.000    0.105    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.104    0.104 connectionpool.py:1(<module>)
    37961    0.101    0.000    0.101    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.100    0.100 ssl_.py:508(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.100    0.100 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.100    0.100 ssl.py:990(_create)
        1    0.000    0.000    0.100    0.100 ssl.py:1365(do_handshake)
        1    0.100    0.100    0.100    0.100 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    17692    0.066    0.000    0.099    0.000 _parser.py:260(get)
        2    0.000    0.000    0.098    0.049 parser.py:1(<module>)
        1    0.000    0.000    0.097    0.097 _request_methods.py:1(<module>)
     3450    0.055    0.000    0.097    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.097    0.097 client.py:1(<module>)
    44/32    0.001    0.000    0.096    0.003 css_parser.py:579(parse_pseudo_class)
      216    0.005    0.000    0.095    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    40/31    0.001    0.000    0.095    0.003 css_parser.py:746(parse_pseudo_open)
 5526/390    0.060    0.000    0.093    0.000 _parser.py:177(getwidth)
      201    0.006    0.000    0.092    0.000 _compiler.py:514(_compile_info)
     2593    0.019    0.000    0.080    0.000 parser.py:92(_replace_attr_charref)
      212    0.001    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      183    0.001    0.000    0.078    0.000 _parser.py:97(closegroup)
      212    0.004    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      164    0.005    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        3    0.000    0.000    0.072    0.024 response.py:1(<module>)
    12868    0.046    0.000    0.069    0.000 _parser.py:163(__len__)
     3450    0.018    0.000    0.068    0.000 filter.py:539(matches_tag)
     7208    0.024    0.000    0.068    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.068    0.034 connection.py:1(<module>)
      487    0.015    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     3400    0.030    0.000    0.064    0.000 __init__.py:870(object_was_parsed)
        1    0.000    0.000    0.064    0.064 cookiejar.py:1(<module>)
      928    0.034    0.000    0.064    0.000 _compiler.py:241(_optimize_charset)
    13683    0.043    0.000    0.063    0.000 _markupbase.py:44(updatepos)
     3449    0.029    0.000    0.062    0.000 __init__.py:953(_popToTag)
7840/7818    0.019    0.000    0.058    0.000 typing.py:426(inner)
